Wall time,Step,Value
1687545157.639582,951296,0.739012598991394
1687545226.077182,953344,0.9562317728996277
1687545259.7148852,954368,0.6503074765205383
1687545294.938312,955392,0.8879795670509338
1687545398.5100858,958464,0.9549738168716431
1687545535.879508,962560,0.7672538161277771
1687545604.63262,964608,1.002261757850647
1687545638.88781,965632,0.8595340251922607
1687545742.077503,968704,0.7470714449882507
1687545878.892575,972800,1.015284538269043
1687545980.514296,975872,1.0810353755950928
1687546083.096839,978944,1.1281894445419312
1687546252.728797,984064,0.7024358510971069
1687546356.5168178,987136,0.8286405205726624
1687546423.760755,989184,0.8340083956718445
1687546492.398294,991232,1.0151296854019165
1687546526.67353,992256,0.6833895444869995
1687546865.64687,1002496,0.962947428226471
1687546900.200545,1003520,0.888661801815033
1687547002.147528,1006592,0.9771305322647095
1687547136.9994051,1010688,0.9713852405548096
1687547275.043561,1014784,0.8592383861541748
1687547343.427913,1016832,0.9675207138061523
1687547412.8073769,1018880,0.876211404800415
1687547491.564378,1020928,1.1290440559387207
1687547562.240044,1022976,1.0578571557998657
1687547596.404686,1024000,0.9136137366294861
1687547706.331002,1027072,0.8188170194625854
1687547742.276324,1028096,1.0125758647918701
1687547777.584331,1029120,0.7472270131111145
1687547848.787533,1031168,1.1399462223052979
1687548025.804933,1036288,0.8560972213745117
1687548094.95157,1038336,0.9660016298294067
1687548162.638392,1040384,0.7360660433769226
1687548410.5939531,1047552,0.9823211431503296
1687548546.9099798,1051648,0.9224957227706909
1687548614.516787,1053696,1.2595984935760498
1687548852.6495008,1060864,1.0822700262069702
1687548887.265821,1061888,1.0710644721984863
1687548921.732378,1062912,0.8472023606300354
1687548956.1391308,1063936,1.2557482719421387
1687548990.553287,1064960,1.1668990850448608
1687549127.908027,1069056,0.977729856967926
1687549230.272854,1072128,1.1098304986953735
1687549570.812798,1082368,0.9603785276412964
1687549638.9913542,1084416,0.8667641878128052
1687549707.847275,1086464,1.0792855024337769
1687549776.2313778,1088512,1.07077956199646
1687549877.8533099,1091584,0.9587475657463074
1687549945.128198,1093632,0.9893894195556641
1687550013.081339,1095680,0.964547872543335
1687550046.902217,1096704,0.9823486804962158
1687550080.872936,1097728,0.9030498266220093
1687550114.53658,1098752,0.7352112531661987
1687550148.537388,1099776,1.0182867050170898
1687550182.987396,1100800,1.121370553970337
1687550286.540812,1103872,1.1642111539840698
1687550388.960481,1106944,1.1116766929626465
1687550560.077666,1112064,0.7614078521728516
